time,emotion
2025-01-26T00:24:22.020684,Neutral
2025-01-26T00:24:22.139993,Neutral
2025-01-26T00:24:22.210185,Neutral
2025-01-26T00:24:22.409375,Neutral
2025-01-26T00:24:22.539655,Neutral
2025-01-26T00:24:22.610313,Neutral
2025-01-26T00:24:22.740342,Neutral
2025-01-26T00:24:22.811753,Neutral
2025-01-26T00:24:22.936786,Neutral
2025-01-26T00:24:23.009137,Neutral
2025-01-26T00:24:23.137218,Neutral
2025-01-26T00:24:23.207035,Neutral
2025-01-26T00:24:23.339971,Neutral
2025-01-26T00:24:23.401105,Neutral
2025-01-26T00:24:23.545043,Neutral
2025-01-26T00:24:23.729667,Neutral
2025-01-26T00:24:23.801012,Neutral
2025-01-26T00:24:24.212529,Neutral
2025-01-26T00:24:24.533864,Neutral
2025-01-26T00:24:24.610684,Neutral
2025-01-26T00:24:24.732554,Neutral
2025-01-26T00:24:24.808939,Neutral
2025-01-26T00:24:24.938457,Neutral
2025-01-26T00:24:25.016348,Neutral
2025-01-26T00:24:25.211688,Neutral
2025-01-26T00:24:25.338699,Neutral
2025-01-26T00:24:25.404782,Neutral
2025-01-26T00:24:25.544419,Neutral
2025-01-26T00:24:25.615469,Neutral
2025-01-26T00:24:25.731143,Neutral
2025-01-26T00:24:25.931046,Neutral
2025-01-26T00:24:26.003577,Neutral
2025-01-26T00:24:26.216686,Neutral
2025-01-26T00:24:26.337760,Neutral
2025-01-26T00:24:26.415348,Neutral
2025-01-26T00:24:26.540772,Neutral
2025-01-26T00:24:26.732689,Neutral
2025-01-26T00:24:26.814501,Neutral
2025-01-26T00:24:26.938718,Neutral
2025-01-26T00:24:27.010023,Neutral
2025-01-26T00:24:27.140147,Neutral
2025-01-26T00:24:27.208779,Neutral
2025-01-26T00:24:27.339431,Neutral
2025-01-26T00:24:27.412822,Neutral
2025-01-26T00:24:27.539244,Neutral
2025-01-26T00:24:27.613603,Neutral
2025-01-26T00:24:27.737386,Neutral
2025-01-26T00:24:27.809281,Neutral
2025-01-26T00:24:27.936430,Neutral
2025-01-26T00:24:28.008512,Neutral
2025-01-26T00:24:28.132659,Neutral
2025-01-26T00:24:28.215892,Neutral
2025-01-26T00:24:28.340989,Neutral
2025-01-26T00:24:28.408922,Neutral
2025-01-26T00:24:28.534510,Neutral
2025-01-26T00:24:28.602633,Neutral
2025-01-26T00:24:28.734285,Neutral
2025-01-26T00:24:28.807101,Neutral
2025-01-26T00:24:28.940548,Tristeza
2025-01-26T00:24:29.013187,Neutral
2025-01-26T00:24:29.135126,Neutral
2025-01-26T00:24:29.203992,Neutral
2025-01-26T00:24:29.328916,Neutral
2025-01-26T00:24:29.400810,Neutral
2025-01-26T00:24:29.531390,Neutral
2025-01-26T00:24:29.603493,Neutral
2025-01-26T00:24:29.733935,Neutral
2025-01-26T00:24:29.810825,Neutral
2025-01-26T00:24:29.938621,Neutral
2025-01-26T00:24:30.015012,Neutral
2025-01-26T00:24:30.145063,Tristeza
2025-01-26T00:24:30.225222,Tristeza
2025-01-26T00:24:30.341262,Tristeza
2025-01-26T00:24:30.414569,Neutral
2025-01-26T00:24:30.538163,Neutral
2025-01-26T00:24:30.623887,Miedo
2025-01-26T00:24:30.732207,Neutral
2025-01-26T00:24:30.943252,Neutral
2025-01-26T00:24:31.018487,Neutral
2025-01-26T00:24:35.960439,Miedo
2025-01-26T00:24:36.158495,Tristeza
2025-01-26T00:24:36.356816,Miedo
2025-01-26T00:24:36.560065,Felicidad
2025-01-26T00:24:36.755866,Neutral
2025-01-26T00:24:36.949355,Neutral
2025-01-26T00:24:37.156604,Neutral
2025-01-26T00:24:37.352221,Miedo
2025-01-26T00:24:37.556410,Neutral
2025-01-26T00:24:37.750951,Miedo
2025-01-26T00:24:37.948583,Neutral
2025-01-26T00:24:38.150792,Miedo
2025-01-26T00:24:38.354220,Neutral
2025-01-26T00:24:38.546619,Neutral
2025-01-26T00:24:38.749397,Neutral
2025-01-26T00:24:38.950316,Miedo
2025-01-26T00:24:39.152717,Miedo
2025-01-26T00:24:39.359812,Miedo
2025-01-26T00:24:39.547394,Miedo
2025-01-26T00:24:40.148087,Neutral
2025-01-26T00:24:40.345140,Miedo
2025-01-26T00:24:40.546510,Neutral
2025-01-26T00:24:40.749273,Neutral
2025-01-26T00:24:40.947642,Neutral
2025-01-26T00:24:41.147172,Neutral
2025-01-26T00:24:41.343357,Neutral
2025-01-26T00:24:41.554583,Neutral
2025-01-26T00:24:41.746790,Neutral
2025-01-26T00:24:41.945254,Neutral
2025-01-26T00:24:42.144516,Neutral
2025-01-26T00:24:42.356858,Neutral
