time,emotion,duration_since_last,abrupt_change
2025-01-26T23:50:32.377059,Miedo,0.187722,True
2025-01-26T23:50:32.576773,Miedo,0.199714,False
2025-01-26T23:50:32.780818,Miedo,0.204045,False
2025-01-26T23:50:32.979106,Miedo,0.198288,False
2025-01-26T23:50:33.177367,Miedo,0.198261,False
2025-01-26T23:50:33.381563,Tristeza,0.204196,True
2025-01-26T23:50:33.572614,Miedo,0.191051,True
2025-01-26T23:50:33.779871,Tristeza,0.207257,True
2025-01-26T23:50:33.967682,Miedo,0.187811,True
2025-01-26T23:50:34.177464,Sorpresa,0.209782,True
2025-01-26T23:50:34.388388,Sorpresa,0.210924,False
2025-01-26T23:50:34.575330,Felicidad,0.186942,True
2025-01-26T23:50:34.777336,Tristeza,0.202006,True
2025-01-26T23:50:34.970622,Felicidad,0.193286,True
2025-01-26T23:50:35.164676,Tristeza,0.194054,True
2025-01-26T23:50:35.369021,Miedo,0.204345,True
2025-01-26T23:50:35.566681,Miedo,0.19766,False
2025-01-26T23:50:35.768850,Miedo,0.202169,False
2025-01-26T23:50:35.967699,Miedo,0.198849,False
2025-01-26T23:50:36.168479,Miedo,0.20078,False
2025-01-26T23:50:36.367362,Miedo,0.198883,False
2025-01-26T23:50:36.578293,Miedo,0.210931,False
2025-01-26T23:50:36.770358,Miedo,0.192065,False
2025-01-26T23:50:36.977806,Miedo,0.207448,False
2025-01-26T23:50:37.168522,Miedo,0.190716,False
2025-01-26T23:50:37.372158,Miedo,0.203636,False
2025-01-26T23:50:37.573395,Miedo,0.201237,False
2025-01-26T23:50:37.774478,Miedo,0.201083,False
2025-01-26T23:50:38.572398,Miedo,0.79792,False
2025-01-26T23:50:38.969287,Miedo,0.396889,False
2025-01-26T23:50:39.367359,Felicidad,0.398072,True
2025-01-26T23:50:39.574919,Felicidad,0.20756,False
2025-01-26T23:50:39.780976,Neutral,0.206057,True
2025-01-26T23:50:39.971371,Neutral,0.190395,False
2025-01-26T23:50:40.164719,Neutral,0.193348,False
2025-01-26T23:50:40.378966,Neutral,0.214247,False
2025-01-26T23:50:40.568545,Miedo,0.189579,True
2025-01-26T23:50:40.772812,Tristeza,0.204267,True
2025-01-26T23:50:40.983679,Miedo,0.210867,True
2025-01-26T23:50:41.168290,Miedo,0.184611,False
2025-01-26T23:50:41.372415,Miedo,0.204125,False
2025-01-26T23:50:41.578245,Miedo,0.20583,False
2025-01-26T23:50:41.783518,Miedo,0.205273,False
2025-01-26T23:50:41.965033,Miedo,0.181515,False
2025-01-26T23:50:42.178919,Felicidad,0.213886,True
2025-01-26T23:50:42.368831,Miedo,0.189912,True
2025-01-26T23:50:42.582223,Neutral,0.213392,True
2025-01-26T23:50:42.773517,Neutral,0.191294,False
2025-01-26T23:50:42.967696,Neutral,0.194179,False
2025-01-26T23:50:43.375731,Neutral,0.408035,False
2025-01-26T23:50:43.580412,Neutral,0.204681,False
2025-01-26T23:50:43.971931,Desagrado,0.391519,True
2025-01-26T23:50:44.176078,Desagrado,0.204147,False
2025-01-26T23:50:44.365618,Desagrado,0.18954,False
2025-01-26T23:50:44.568583,Desagrado,0.202965,False
2025-01-26T23:50:45.684761,Desagrado,1.116178,False
2025-01-26T23:50:45.937570,Miedo,0.252809,True
2025-01-26T23:50:45.990067,Miedo,0.052497,False
2025-01-26T23:50:46.037231,Miedo,0.047164,False
2025-01-26T23:50:46.173345,Miedo,0.136114,False
2025-01-26T23:50:46.368219,Desagrado,0.194874,True
2025-01-26T23:50:47.470127,Miedo,1.101908,True
2025-01-26T23:50:48.482748,Desagrado,1.012621,True
2025-01-26T23:50:50.486990,Desagrado,2.004242,False
2025-01-26T23:50:51.477209,Desagrado,0.990219,False
2025-01-26T23:50:53.473158,Tristeza,1.995949,True
2025-01-26T23:52:10.422739,Tristeza,76.949581,False
2025-01-26T23:52:10.620377,Miedo,0.197638,True
2025-01-26T23:52:11.012095,Felicidad,0.391718,True
2025-01-26T23:52:11.207792,Felicidad,0.195697,False
2025-01-26T23:52:11.401218,Felicidad,0.193426,False
2025-01-26T23:52:11.604112,Felicidad,0.202894,False
2025-01-26T23:52:11.805994,Felicidad,0.201882,False
2025-01-26T23:52:12.006732,Felicidad,0.200738,False
2025-01-26T23:52:12.219275,Felicidad,0.212543,False
2025-01-26T23:52:13.806721,Felicidad,1.587446,False
2025-01-26T23:52:14.197934,Felicidad,0.391213,False
2025-01-26T23:52:14.400019,Felicidad,0.202085,False
2025-01-26T23:52:16.007259,Felicidad,1.60724,False
2025-01-26T23:52:16.406473,Felicidad,0.399214,False
2025-01-26T23:52:16.608558,Felicidad,0.202085,False
2025-01-26T23:52:16.806812,Felicidad,0.198254,False
2025-01-26T23:52:17.002069,Neutral,0.195257,True
2025-01-26T23:52:17.208756,Tristeza,0.206687,True
2025-01-26T23:52:17.397038,Felicidad,0.188282,True
2025-01-26T23:52:17.606098,Tristeza,0.20906,True
2025-01-26T23:52:17.815418,Tristeza,0.20932,False
2025-01-26T23:52:18.403698,Neutral,0.58828,True
2025-01-26T23:52:19.023202,Neutral,0.619504,False
2025-01-26T23:52:19.202206,Neutral,0.179004,False
2025-01-26T23:52:20.008827,Felicidad,0.806621,True
2025-01-26T23:52:21.002620,Felicidad,0.993793,False
2025-01-26T23:52:23.602860,Felicidad,2.60024,False
2025-01-26T23:52:23.804013,Felicidad,0.201153,False
2025-01-26T23:52:24.406400,Tristeza,0.602387,True
2025-01-26T23:52:25.004870,Felicidad,0.59847,True
2025-01-26T23:52:25.600964,Felicidad,0.596094,False
2025-01-26T23:52:25.807903,Felicidad,0.206939,False
2025-01-26T23:52:26.003566,Felicidad,0.195663,False
2025-01-26T23:52:26.183093,Desconocida,0.179527,True
2025-01-26T23:52:26.405204,Neutral,0.222111,True
2025-01-26T23:52:26.800637,Neutral,0.395433,False
2025-01-26T23:52:27.003198,Felicidad,0.202561,True
2025-01-26T23:52:27.206911,Felicidad,0.203713,False
2025-01-26T23:52:27.383260,Desconocida,0.176349,True
2025-01-26T23:52:27.577120,Desconocida,0.19386,False
2025-01-26T23:52:27.974032,Desconocida,0.396912,False
2025-01-26T23:52:28.201666,Felicidad,0.227634,True
2025-01-26T23:52:28.403191,Felicidad,0.201525,False
2025-01-26T23:52:28.604774,Felicidad,0.201583,False
2025-01-26T23:52:28.803891,Neutral,0.199117,True
2025-01-26T23:52:29.003038,Felicidad,0.199147,True
2025-01-26T23:52:29.201310,Felicidad,0.198272,False
2025-01-26T23:52:29.402884,Felicidad,0.201574,False
2025-01-26T23:52:29.602820,Felicidad,0.199936,False
2025-01-26T23:52:29.805984,Felicidad,0.203164,False
2025-01-26T23:52:30.009015,Felicidad,0.203031,False
2025-01-26T23:52:30.203654,Felicidad,0.194639,False
