time,emotion
2025-01-26T00:32:58.334384,Miedo
2025-01-26T00:32:58.457703,Miedo
2025-01-26T00:32:58.541863,Miedo
2025-01-26T00:32:58.662071,Miedo
2025-01-26T00:32:58.744779,Neutral
2025-01-26T00:32:58.860006,Miedo
2025-01-26T00:32:58.941159,Neutral
2025-01-26T00:32:59.061514,Neutral
2025-01-26T00:32:59.141592,Neutral
2025-01-26T00:32:59.260244,Neutral
2025-01-26T00:32:59.341377,Neutral
2025-01-26T00:32:59.461223,Neutral
2025-01-26T00:32:59.545472,Neutral
2025-01-26T00:32:59.658779,Neutral
2025-01-26T00:32:59.739907,Miedo
2025-01-26T00:32:59.857290,Neutral
2025-01-26T00:32:59.934039,Neutral
2025-01-26T00:33:00.048010,Neutral
2025-01-26T00:33:00.136888,Tristeza
2025-01-26T00:33:00.256177,Neutral
2025-01-26T00:33:00.456856,Miedo
2025-01-26T00:33:00.543450,Tristeza
2025-01-26T00:33:00.647051,Neutral
2025-01-26T00:33:00.743277,Tristeza
2025-01-26T00:33:00.858649,Tristeza
2025-01-26T00:33:00.942629,Neutral
2025-01-26T00:33:01.048754,Neutral
2025-01-26T00:33:01.140070,Neutral
2025-01-26T00:33:01.252458,Neutral
2025-01-26T00:33:01.337386,Neutral
2025-01-26T00:33:01.459182,Neutral
2025-01-26T00:33:01.656954,Neutral
2025-01-26T00:33:01.740577,Neutral
2025-01-26T00:33:01.854307,Neutral
2025-01-26T00:33:01.940723,Neutral
2025-01-26T00:33:02.054012,Neutral
2025-01-26T00:33:02.146619,Neutral
2025-01-26T00:33:02.260291,Neutral
2025-01-26T00:33:02.348931,Neutral
2025-01-26T00:33:02.451344,Neutral
2025-01-26T00:33:02.542085,Neutral
2025-01-26T00:33:02.656634,Neutral
2025-01-26T00:33:02.741828,Neutral
2025-01-26T00:33:02.941935,Neutral
2025-01-26T00:33:03.055486,Neutral
2025-01-26T00:33:03.128809,Neutral
2025-01-26T00:33:03.248618,Neutral
2025-01-26T00:33:03.444555,Neutral
2025-01-26T00:33:03.530137,Neutral
2025-01-26T00:33:03.650954,Neutral
2025-01-26T00:33:03.736237,Neutral
2025-01-26T00:33:03.866189,Neutral
2025-01-26T00:33:03.937832,Neutral
2025-01-26T00:33:04.057281,Miedo
2025-01-26T00:33:04.134225,Neutral
2025-01-26T00:33:04.255733,Neutral
2025-01-26T00:33:04.339397,Neutral
2025-01-26T00:33:04.456616,Neutral
2025-01-26T00:33:04.548166,Neutral
2025-01-26T00:33:04.654637,Sorpresa
2025-01-26T00:33:04.742519,Neutral
2025-01-26T00:33:04.860276,Felicidad
2025-01-26T00:33:04.950995,Tristeza
2025-01-26T00:33:05.055351,Tristeza
2025-01-26T00:33:05.137237,Miedo
2025-01-26T00:33:05.252291,Felicidad
2025-01-26T00:33:05.335684,Felicidad
2025-01-26T00:33:05.535507,Felicidad
2025-01-26T00:33:05.657911,Felicidad
2025-01-26T00:33:05.744942,Felicidad
2025-01-26T00:33:05.855253,Neutral
2025-01-26T00:33:05.931605,Neutral
2025-01-26T00:33:06.054601,Neutral
2025-01-26T00:33:06.138558,Miedo
2025-01-26T00:33:06.253690,Neutral
2025-01-26T00:33:06.330760,Neutral
2025-01-26T00:33:06.456909,Neutral
2025-01-26T00:33:06.537690,Neutral
